AIRPORT_CODE,AIRPORT_NAME,ORIGIN_STATE,LATITUDE,LONGITUDE,FLIGHT_YEAR,TOTAL_DEPARTURES,ON_TIME_RATE_PCT,CANCELLATION_RATE_PCT,AVG_DEP_DELAY_MINS,AVG_DISTANCE
MTJ,Montrose Regional Airport,Colorado,38.50979995729999,-107.89399719200001,2016,1099,83.53,2.0,7.09,587.49
BGR,Bangor International Airport,Maine,44.80739974975586,-68.8281021118164,2016,606,78.71,1.98,9.85,555.95
SBA,Santa Barbara Municipal Airport,California,34.42620087,-119.83999629999998,2016,5967,79.54,1.91,10.21,410.65
PLN,Pellston Regional Airport of Emmet County Airport,Michigan,45.57089996,-84.79669952,2016,1098,85.43,1.91,11.49,208.23
BIS,Bismarck Municipal Airport,North Dakota,46.77270126342773,-100.74600219726562,2016,2373,86.39,1.9,6.39,444.56
CHO,Charlottesville Albemarle Airport,Virginia,38.13859939575195,-78.4529037475586,2016,2393,81.86,1.88,13.52,485.83
ABI,Abilene Regional Airport,Texas,32.4113006592,-99.6819000244,2016,160,76.25,1.88,10.03,158.0
BRD,Brainerd Lakes Regional Airport,Minnesota,46.39830017,-94.13809967,2016,640,86.41,1.88,5.88,114.0
EVV,Evansville Regional Airport,Indiana,38.0369987488,-87.53240203859998,2016,2733,82.36,1.87,9.31,325.92
MQT,Sawyer International Airport,Michigan,46.3535995483,-87.395401001,2016,695,82.45,1.87,15.94,348.56
BTR,Baton Rouge Metropolitan Airport,Louisiana,30.533199,-91.149597,2016,6880,81.47,1.86,11.62,372.25
CRP,Corpus Christi International Airport,Texas,27.77039909362793,-97.5011978149414,2016,2963,87.58,1.86,2.09,197.82
SBP,San Luis County Regional Airport,California,35.2368011475,-120.641998291,2016,3192,81.11,1.85,7.54,244.58
LRD,Laredo International Airport,Texas,27.543800354003903,-99.46160125732422,2016,2118,85.88,1.84,6.33,352.22
LEX,Blue Grass Airport,Kentucky,38.0364990234375,-84.60590362548828,2016,5158,82.65,1.84,9.88,371.6
MHT,Manchester-Boston Regional Airport,New Hampshire,42.932598000000006,-71.43569900000001,2016,6701,87.24,1.84,5.78,657.58
ISP,Long Island Mac Arthur Airport,New York,40.79520035,-73.10019684,2016,4693,86.62,1.83,6.58,731.62
GCC,Gillette Campbell County Airport,Wyoming,44.34889984130001,-105.539001465,2016,1037,90.94,1.83,0.1,347.05
BUF,Buffalo Niagara International Airport,New York,42.94049834999999,-78.73220062,2016,17990,84.95,1.82,7.13,617.6
LNK,Lincoln Airport,Nebraska,40.85100173950195,-96.75920104980467,2016,3046,86.47,1.81,5.22,455.27
IMT,Ford Airport,Michigan,45.818401336700006,-88.1145019531,2016,668,87.72,1.8,5.71,170.25
GSP,Greenville Spartanburg International Airport,South Carolina,34.8956985474,-82.2189025879,2016,7136,84.22,1.78,8.76,392.12
MDW,Chicago Midway International Airport,Illinois,41.78599900000001,-87.752403,2016,87592,81.91,1.78,9.1,801.25
CLL,Easterwood Field,Texas,30.58860016,-96.36380005000001,2016,1133,87.64,1.77,1.1,105.85
OAJ,Albert J Ellis Airport,North Carolina,34.8292007446,-77.61209869380002,2016,1267,83.5,1.74,10.77,399.0
PSE,PSE,Puerto Rico,,,2016,862,84.22,1.74,2.92,1359.89
RDM,Roberts Field,Oregon,44.25410080000001,-121.1500015,2016,2781,81.27,1.73,9.1,615.2
FLG,Flagstaff Pulliam Airport,Arizona,35.13850021,-111.6709976,2016,1846,87.49,1.73,3.03,119.0
HPN,Westchester County Airport,New York,41.06700134277344,-73.70760345458984,2016,7106,77.69,1.73,12.41,910.9
SGF,Springfield Branson National Airport,Missouri,37.245700840000005,-93.38860321,2016,2782,83.97,1.73,7.73,545.73
PVD,Theodore Francis Green State Airport,Rhode Island,41.732601,-71.42040300000001,2016,12651,85.97,1.72,5.81,720.62
EKO,Elko Regional Airport,Nevada,40.82490158081055,-115.7919998168945,2016,638,90.44,1.72,-0.43,200.0
BWI,Baltimore/Washington International Thurgood Marshall Airport,Maryland,39.1754,-76.668297,2016,96028,82.53,1.71,8.94,791.94
GRB,Austin Straubel International Airport,Wisconsin,44.48509979248047,-88.12960052490234,2016,3731,86.04,1.69,4.68,302.31
CAK,Akron Canton Regional Airport,Ohio,40.91609954833984,-81.44219970703125,2016,5306,84.21,1.68,7.81,507.21
JAX,Jacksonville International Airport,Florida,30.49410057067871,-81.68789672851562,2016,18600,84.7,1.68,7.14,565.94
LFT,Lafayette Regional Airport,Louisiana,30.205299380000003,-91.98760222999998,2016,3087,85.42,1.68,8.46,341.89
GCK,Garden City Regional Airport,Kansas,37.9275016785,-100.723999023,2016,424,79.01,1.65,20.82,404.0
GRR,Gerald R. Ford International Airport,Michigan,42.88079834,-85.52279663000002,2016,9197,85.07,1.65,6.19,474.2
BUR,Bob Hope Airport,California,34.20069885253906,-118.35900115966795,2016,22476,82.63,1.63,6.87,456.29
ORD,Chicago O'Hare International Airport,Illinois,41.97860000000001,-87.9048,2016,243438,77.37,1.63,13.03,825.0
INL,Falls International Airport,Minnesota,48.566200256347656,-93.4030990600586,2016,615,82.76,1.63,9.49,158.27
AVL,Asheville Regional Airport,North Carolina,35.43619918823242,-82.54180145263672,2016,3385,81.65,1.62,11.89,282.86
MSN,Dane County Regional Truax Field,Wisconsin,43.13990020751953,-89.3375015258789,2016,7520,86.16,1.61,5.33,426.3
MAF,Midland International Airport,Texas,31.9424991607666,-102.2020034790039,2016,5835,87.93,1.61,4.09,441.46
FNT,Bishop International Airport,Michigan,42.96540069580078,-83.74359893798828,2016,3870,88.42,1.6,3.11,492.3
PIA,General Wayne A. Downing Peoria International Airport,Illinois,40.6641998291,-89.69329833979998,2016,2942,83.51,1.6,9.43,366.38
ABE,Lehigh Valley International Airport,Pennsylvania,40.652099609375,-75.44080352783203,2016,2360,84.24,1.57,10.21,599.8
MLU,Monroe Regional Airport,Louisiana,32.51089859008789,-92.0376968383789,2016,3068,83.44,1.56,7.78,351.26
MFR,Rogue Valley International Medford Airport,Oregon,42.37419891357422,-122.8730010986328,2016,2962,81.43,1.55,10.12,529.24
IAD,Washington Dulles International Airport,Virginia,38.94449997000001,-77.45580292,2016,34366,83.52,1.51,9.14,1356.05
AEX,Alexandria International Airport,Louisiana,31.32740020751953,-92.54979705810548,2016,2851,83.41,1.51,7.02,353.72
LAW,Lawton Fort Sill Regional Airport,Oklahoma,34.5676994324,-98.4166030884,2016,1140,83.68,1.49,8.78,140.0
TYS,McGhee Tyson Airport,Tennessee,35.81100082,-83.9940033,2016,7172,83.09,1.48,8.01,505.76
ISN,Sloulin Field International Airport,North Dakota,48.177898407,-103.641998291,2016,1635,88.5,1.47,4.0,588.21
BQK,Brunswick Golden Isles Airport,Georgia,31.2588005065918,-81.46649932861328,2016,1031,84.77,1.45,9.36,238.0
PSP,Palm Springs International Airport,California,33.8297004699707,-116.50700378417966,2016,10043,81.64,1.44,9.66,669.53
RDU,Raleigh Durham International Airport,North Carolina,35.87760162353516,-78.7874984741211,2016,34884,82.75,1.44,9.09,673.45
ESC,Delta County Airport,Michigan,45.7226982117,-87.0936965942,2016,626,85.78,1.44,10.53,306.0
CLE,Cleveland Hopkins International Airport,Ohio,41.4117012024,-81.8498001099,2016,34031,83.14,1.43,8.78,719.65
SFO,San Francisco International Airport,California,37.61899948120117,-122.375,2016,171954,77.84,1.43,12.04,1179.76
SHV,Shreveport Regional Airport,Louisiana,32.446602,-93.82560000000001,2016,5933,83.38,1.42,8.09,349.84
MDT,Harrisburg International Airport,Pennsylvania,40.19350051879999,-76.7633972168,2016,2541,85.01,1.42,9.14,520.86
SDF,Louisville International Standiford Field,Kentucky,38.1744,-85.736,2016,9916,84.71,1.41,8.64,543.24
DEN,Denver International Airport,Colorado,39.86169815063498,-104.67299652099999,2016,225590,81.48,1.41,9.18,885.04
MOB,Mobile Regional Airport,Alabama,30.691200256347994,-88.242797851562,2016,4893,83.2,1.41,7.0,397.57
FAY,Fayetteville Regional Grannis Field,North Carolina,34.9911994934082,-78.88030242919922,2016,1700,85.65,1.41,8.94,331.0
RAP,Rapid City Regional Airport,South Dakota,44.0452995300293,-103.05699920654295,2016,2999,86.9,1.4,6.03,467.62
PBI,Palm Beach International Airport,Florida,26.68320083618164,-80.09559631347656,2016,24217,79.16,1.4,11.9,912.44
XNA,Northwest Arkansas Regional Airport,Arkansas,36.281898,-94.30680099999998,2016,5760,84.62,1.39,9.69,636.32
TTN,Trenton Mercer Airport,New Jersey,40.27669906616211,-74.8134994506836,2016,2103,81.26,1.38,9.6,785.95
DRO,Durango La Plata County Airport,Colorado,37.1515007019,-107.753997803,2016,1950,81.54,1.38,4.67,372.72
CID,The Eastern Iowa Airport,Iowa,41.88470077514648,-91.71080017089844,2016,4444,84.74,1.37,7.29,442.25
MFE,Mc Allen Miller International Airport,Texas,26.17580032,-98.23860168000002,2016,2218,87.6,1.35,6.22,385.83
LBB,Lubbock Preston Smith International Airport,Texas,33.663601,-101.822998,2016,4564,87.45,1.34,4.35,396.81
MEM,Memphis International Airport,Tennessee,35.04240036010742,-89.97669982910156,2016,14095,85.2,1.31,6.82,544.29
EUG,Mahlon Sweet Field,Oregon,44.12459945678711,-123.21199798583984,2016,3533,79.88,1.3,10.98,627.35
RNO,Reno Tahoe International Airport,Nevada,39.49909973144531,-119.76799774169922,2016,14137,82.1,1.29,8.39,585.35
COS,City of Colorado Springs Municipal Airport,Colorado,38.805801,-104.700996,2016,8266,82.25,1.29,9.06,552.44
MOT,Minot International Airport,North Dakota,48.2593994140625,-101.27999877929688,2016,1645,85.96,1.28,6.45,512.98
SBN,South Bend Regional Airport,Indiana,41.70869827270508,-86.31729888916016,2016,5304,82.69,1.28,9.27,316.45
CAE,Columbia Metropolitan Airport,South Carolina,33.93880081176758,-81.11949920654297,2016,4419,83.41,1.27,11.05,386.85
GPT,Gulfport Biloxi International Airport,Mississippi,30.40730094909668,-89.07009887695312,2016,3141,86.53,1.27,6.45,394.59
CMH,John Glenn Columbus International Airport,Ohio,39.998001,-82.891899,2016,23076,84.63,1.25,6.42,731.18
WRG,Wrangell Airport,Alaska,56.48429871,-132.36999509999998,2016,722,86.43,1.25,-1.8,56.57
PSG,Petersburg James A Johnson Airport,Alaska,56.801700589999996,-132.9450073,2016,727,87.76,1.24,-6.04,77.06
JFK,John F Kennedy International Airport,New York,40.63980103,-73.77890015,2016,97441,77.74,1.24,13.08,1468.16
BOS,General Edward Lawrence Logan International Airport,Massachusetts,42.364299769999995,-71.00520324999998,2016,120891,81.5,1.24,9.14,1000.31
DSM,Des Moines International Airport,Iowa,41.53400039672852,-93.66310119628906,2016,7764,84.75,1.24,7.48,639.27
MCO,Orlando International Airport,Florida,28.429399490356445,-81.30899810791016,2016,125397,81.52,1.23,10.37,962.31
ICT,Wichita Eisenhower National Airport,Kansas,37.64989899999999,-97.43309800000002,2016,7837,86.63,1.23,6.19,579.24
JAN,Jackson-Medgar Wiley Evers International Airport,Mississippi,32.3111991882,-90.07589721679999,2016,5192,86.88,1.23,5.93,383.94
OMA,Eppley Airfield,Nebraska,41.303200000000004,-95.89409599999999,2016,17921,85.89,1.22,6.12,690.61
IDA,Idaho Falls Regional Airport,Idaho,43.514599,-112.07099899999999,2016,2477,89.18,1.21,2.42,300.56
BHM,Birmingham-Shuttlesworth International Airport,Alabama,33.56290054,-86.75350189000001,2016,12266,85.15,1.21,7.64,501.57
ABR,Aberdeen Regional Airport,South Dakota,45.449100494384766,-98.42179870605467,2016,742,88.41,1.21,5.88,257.0
IAH,George Bush Intercontinental Houston Airport,Texas,29.984399795532227,-95.34140014648438,2016,136741,83.54,1.21,8.66,850.39
HOU,William P Hobby Airport,Texas,29.645399089999994,-95.27890014999997,2016,54070,80.89,1.21,9.51,715.15
